"filename", "language", "C++", "Dart", "YAML", "Swift", "JSON", "Markdown", "HTML", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\kaio\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"c:\kaio\analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\kaio\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 5, 13, 73
"c:\kaio\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\kaio\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 6, 1, 34
"c:\kaio\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\kaio\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\kaio\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\kaio\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\kaio\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\kaio\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"c:\kaio\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\kaio\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\kaio\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"c:\kaio\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\kaio\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\kaio\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"c:\kaio\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\kaio\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\kaio\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\kaio\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\kaio\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\kaio\lib\constants.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\kaio\lib\main.dart", "Dart", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 94
"c:\kaio\lib\screens\Book.dart", "Dart", 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17, 192
"c:\kaio\lib\screens\Cuisine.dart", "Dart", 0, 275, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23, 304
"c:\kaio\lib\screens\Destinationdesc.dart", "Dart", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 118
"c:\kaio\lib\screens\Hc_papermachie.dart", "Dart", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 108
"c:\kaio\lib\screens\cook.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 23, 17, 88
"c:\kaio\lib\screens\desc_Hc_pprmche.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\kaio\lib\screens\destinations.dart", "Dart", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 94
"c:\kaio\lib\screens\handicrafts.dart", "Dart", 0, 269, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22, 293
"c:\kaio\lib\screens\literature.dart", "Dart", 0, 229, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 253
"c:\kaio\lib\screens\recipe.dart", "Dart", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 46, 28, 165
"c:\kaio\lib\widgets\CookCard.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 23
"c:\kaio\lib\widgets\Recipe.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 51
"c:\kaio\lib\widgets\ReviewCard.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 24
"c:\kaio\lib\widgets\bookshape.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 43, 10, 81
"c:\kaio\lib\widgets\craft.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 49
"c:\kaio\lib\widgets\selection.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"c:\kaio\lib\widgets\travel_new.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 60
"c:\kaio\lib\widgets\travel_old.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 29
"c:\kaio\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\kaio\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\kaio\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\kaio\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\kaio\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\kaio\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 4, 11
"c:\kaio\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\kaio\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\kaio\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"c:\kaio\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\kaio\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\kaio\pubspec.yaml", "YAML", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 57, 14, 90
"c:\kaio\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\kaio\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 16, 6, 60
"c:\kaio\web\manifest.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"c:\kaio\windows\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\kaio\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\kaio\windows\runner\flutter_window.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 67
"c:\kaio\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\kaio\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\kaio\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\kaio\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\kaio\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\kaio\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\kaio\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 530, 1736, 22, 50, 248, 13, 38, 463, 8, 90, 424, 494, 4116
