"filename", "language", "C++", "YAML", "Dart", "Swift", "comment", "blank", "total"
"c:\kaio\lib\Cuisine\FlipCarousel.dart", "Dart", 0, 0, 24, 0, 1, 5, 30
"c:\kaio\lib\Cuisine\cook.dart", "Dart", 0, 0, 66, 0, 71, 30, 167
"c:\kaio\lib\Cuisine\recipe.dart", "Dart", 0, 0, 128, 0, 118, 15, 261
"c:\kaio\lib\Culture\CultureSelection.dart", "Dart", 0, 0, 48, 0, 36, 6, 90
"c:\kaio\lib\Culture\Gallery.dart", "Dart", 0, 0, 49, 0, 1, 6, 56
"c:\kaio\lib\Destination\Container.dart", "Dart", 0, 0, 20, 0, 1, 4, 25
"c:\kaio\lib\Destination\DestinationSecondPage.dart", "Dart", 0, 0, 0, 0, 211, 8, 219
"c:\kaio\lib\Destination\Destinationdescription.dart", "Dart", 0, 0, 113, 0, 0, 5, 118
"c:\kaio\lib\Destination\Features.dart", "Dart", 0, 0, 61, 0, 1, 9, 71
"c:\kaio\lib\Destination\Tab.dart", "Dart", 0, 0, 0, 0, 46, 4, 50
"c:\kaio\lib\Destination\desttemplate.dart", "Dart", 0, 0, 167, 0, 1, 9, 177
"c:\kaio\lib\Destination\heritage.dart", "Dart", 0, 0, 130, 0, 1, 8, 139
"c:\kaio\lib\Destination\pilgrim.dart", "Dart", 0, 0, 91, 0, 1, 6, 98
"c:\kaio\lib\Destination\shrines.dart", "Dart", 0, 0, 95, 0, 1, 6, 102
"c:\kaio\lib\Destination\treks.dart", "Dart", 0, 0, 48, 0, 1, 6, 55
"c:\kaio\lib\Destination\wildlife.dart", "Dart", 0, 0, 53, 0, 1, 6, 60
"c:\kaio\lib\Handicraft\DescriptionPaperMachie.dart", "Dart", 0, 0, 18, 0, 0, 5, 23
"c:\kaio\lib\Handicraft\PpaerMachie.dart", "Dart", 0, 0, 100, 0, 0, 8, 108
"c:\kaio\lib\Literature\Book.dart", "Dart", 0, 0, 182, 0, 32, 17, 231
"c:\kaio\lib\Literature\BookTemplate.dart", "Dart", 0, 0, 118, 0, 1, 7, 126
"c:\kaio\lib\Literature\WidgetBookShape2.dart", "Dart", 0, 0, 24, 0, 6, 7, 37
"c:\kaio\lib\MainScreens\Cuisine.dart", "Dart", 0, 0, 139, 0, 5, 14, 158
"c:\kaio\lib\MainScreens\Culture.dart", "Dart", 0, 0, 11, 0, 4, 5, 20
"c:\kaio\lib\MainScreens\destinations.dart", "Dart", 0, 0, 197, 0, 1, 8, 206
"c:\kaio\lib\MainScreens\handicrafts.dart", "Dart", 0, 0, 1193, 0, 6, 35, 1234
"c:\kaio\lib\MainScreens\literature.dart", "Dart", 0, 0, 126, 0, 1, 11, 138
"c:\kaio\lib\constants.dart", "Dart", 0, 0, 4, 0, 0, 1, 5
"c:\kaio\lib\data\cuisines.dart", "Dart", 0, 0, 813, 0, 1, 8, 822
"c:\kaio\lib\data\destination.dart", "Dart", 0, 0, 234, 0, 1, 14, 249
"c:\kaio\lib\data\handicrafts.dart", "Dart", 0, 0, 70, 0, 1, 6, 77
"c:\kaio\lib\data\literature.dart", "Dart", 0, 0, 351, 0, 0, 7, 358
"c:\kaio\lib\main.dart", "Dart", 0, 0, 18, 0, 0, -2, 16
"c:\kaio\lib\screens\Book.dart", "Dart", 0, 0, -167, 0, -8, -17, -192
"c:\kaio\lib\screens\Cuisine.dart", "Dart", 0, 0, -275, 0, -6, -23, -304
"c:\kaio\lib\screens\Destinationdesc.dart", "Dart", 0, 0, -113, 0, 0, -5, -118
"c:\kaio\lib\screens\Hc_papermachie.dart", "Dart", 0, 0, -100, 0, 0, -8, -108
"c:\kaio\lib\screens\cook.dart", "Dart", 0, 0, -48, 0, -23, -17, -88
"c:\kaio\lib\screens\desc_Hc_pprmche.dart", "Dart", 0, 0, -18, 0, 0, -5, -23
"c:\kaio\lib\screens\destinations.dart", "Dart", 0, 0, -80, 0, -2, -12, -94
"c:\kaio\lib\screens\handicrafts.dart", "Dart", 0, 0, -269, 0, -2, -22, -293
"c:\kaio\lib\screens\literature.dart", "Dart", 0, 0, -229, 0, -1, -23, -253
"c:\kaio\lib\screens\recipe.dart", "Dart", 0, 0, -91, 0, -46, -28, -165
"c:\kaio\lib\widgets\BookShape1.dart", "Dart", 0, 0, 30, 0, 43, 8, 81
"c:\kaio\lib\widgets\CultureCard.dart", "Dart", 0, 0, 99, 0, 14, 21, 134
"c:\kaio\lib\widgets\Recipe.dart", "Dart", 0, 0, 15, 0, 164, 17, 196
"c:\kaio\lib\widgets\bookshape.dart", "Dart", 0, 0, -28, 0, -43, -10, -81
"c:\kaio\lib\widgets\craft.dart", "Dart", 0, 0, -13, 0, 0, 2, -11
"c:\kaio\lib\widgets\destinationFeature.dart", "Dart", 0, 0, 43, 0, 2, 5, 50
"c:\kaio\lib\widgets\travel_new.dart", "Dart", 0, 0, 0, 0, 1, 0, 1
"c:\kaio\lib\widgets\travel_old.dart", "Dart", 0, 0, -21, 0, -1, -7, -29
"c:\kaio\linux\flutter\generated_plugin_registrant.cc", "C++", 4, 0, 0, 0, 0, 0, 4
"c:\kaio\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 2, 0, 0, 2
"c:\kaio\pubspec.yaml", "YAML", 0, 54, 0, 0, 0, 1, 55
"c:\kaio\test\widget_test.dart", "Dart", 0, 0, -14, 0, -10, -7, -31
"c:\kaio\windows\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 3
"Total", "-", 7, 54, 3412, 2, 633, 154, 4262
