Date : 2023-08-16 14:28:04
Directory : c:\kaio
Total : 87 files,  6673 codes, 1057 comments, 648 blanks, all 8378 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         41 |      5,148 |        783 |        373 |      6,304 |
| C++        |         16 |        537 |        118 |        181 |        836 |
| XML        |         10 |        463 |         48 |         12 |        523 |
| JSON       |          4 |        248 |          0 |          4 |        252 |
| Groovy     |          3 |         90 |          5 |         22 |        117 |
| YAML       |          2 |         76 |         80 |         19 |        175 |
| Swift      |          6 |         52 |          7 |         20 |         79 |
| HTML       |          1 |         38 |         16 |          6 |         60 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                     |         87 |      6,673 |      1,057 |        648 |      8,378 |
| . (Files)                                                             |          3 |         86 |         80 |         26 |        192 |
| android                                                               |         12 |        157 |         51 |         33 |        241 |
| android (Files)                                                       |          3 |         38 |          0 |         10 |         48 |
| android\app                                                           |          8 |        114 |         51 |         22 |        187 |
| android\app (Files)                                                   |          1 |         55 |          5 |         13 |         73 |
| android\app\src                                                       |          7 |         59 |         46 |          9 |        114 |
| android\app\src\debug                                                 |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                  |          5 |         53 |         38 |          7 |         98 |
| android\app\src\main (Files)                                          |          1 |         27 |          6 |          1 |         34 |
| android\app\src\main\res                                              |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                     |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                 |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                       |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                 |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                               |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                        |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                |          1 |          5 |          0 |          1 |          6 |
| ios                                                                   |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                            |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                    |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                       |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                            |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                         |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                       |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                 |          2 |         61 |          2 |          2 |         65 |
| lib                                                                   |         41 |      5,148 |        783 |        373 |      6,304 |
| lib (Files)                                                           |          2 |        105 |          1 |         13 |        119 |
| lib\Cuisine                                                           |          3 |        218 |        190 |         50 |        458 |
| lib\Culture                                                           |          2 |         97 |         37 |         12 |        146 |
