"filename", "language", "Swift", "YAML", "Dart", "comment", "blank", "total"
"c:\kaio\lib\Cuisine\FlipCarousel.dart", "Dart", 0, 0, -1, 0, 0, -1
"c:\kaio\lib\Cuisine\RecipeImage.dart", "Dart", 0, 0, 25, 1, 7, 33
"c:\kaio\lib\Cuisine\cook.dart", "Dart", 0, 0, -66, 66, 0, 0
"c:\kaio\lib\Cuisine\recipe.dart", "Dart", 0, 0, 40, 0, -2, 38
"c:\kaio\lib\Culture\CultureSelection.dart", "Dart", 0, 0, -48, -36, -6, -90
"c:\kaio\lib\Culture\Gallery.dart", "Dart", 0, 0, -49, -1, -6, -56
"c:\kaio\lib\Culture\carouselpage.dart", "Dart", 0, 0, 84, 1, 9, 94
"c:\kaio\lib\Culture\gallery.dart", "Dart", 0, 0, 66, 1, 14, 81
"c:\kaio\lib\Destination\Tab.dart", "Dart", 0, 0, 0, -46, -4, -50
"c:\kaio\lib\Destination\destinationFeature.dart", "Dart", 0, 0, 48, 2, 5, 55
"c:\kaio\lib\Destination\desttemplate.dart", "Dart", 0, 0, -1, 0, 0, -1
"c:\kaio\lib\Handicraft\DescriptionPaperMachie.dart", "Dart", 0, 0, -18, 0, -5, -23
"c:\kaio\lib\Handicraft\PaperMachie.dart", "Dart", 0, 0, -100, 0, -8, -108
"c:\kaio\lib\Handicraft\craft.dart", "Dart", 0, 0, 30, 1, 6, 37
"c:\kaio\lib\Literature\Book.dart", "Dart", 0, 0, -182, -32, -17, -231
"c:\kaio\lib\Literature\BookShape.dart", "Dart", 0, 0, 31, 1, 7, 39
"c:\kaio\lib\Literature\BookTemplate.dart", "Dart", 0, 0, -1, 0, 0, -1
"c:\kaio\lib\Literature\ReviewCard.dart", "Dart", 0, 0, 19, 2, 3, 24
"c:\kaio\lib\MainScreens\Cuisine.dart", "Dart", 0, 0, 6, -2, 7, 11
"c:\kaio\lib\MainScreens\Culture.dart", "Dart", 0, 0, 159, 0, 33, 192
"c:\kaio\lib\MainScreens\destinations.dart", "Dart", 0, 0, 6, 3, 0, 9
"c:\kaio\lib\MainScreens\handicrafts.dart", "Dart", 0, 0, 2, 5, 0, 7
"c:\kaio\lib\MainScreens\literature.dart", "Dart", 0, 0, 124, 0, -4, 120
"c:\kaio\lib\SplashScreen.dart", "Dart", 0, 0, 46, 4, 6, 56
"c:\kaio\lib\constants.dart", "Dart", 0, 0, 4, 0, 0, 4
"c:\kaio\lib\data\culture.dart", "Dart", 0, 0, 264, 0, 11, 275
"c:\kaio\lib\main.dart", "Dart", 0, 0, -59, 0, -1, -60
"c:\kaio\lib\mainScreen.dart", "Dart", 0, 0, 315, 2, 25, 342
"c:\kaio\lib\widgets\BookShape1.dart", "Dart", 0, 0, -30, -43, -8, -81
"c:\kaio\lib\widgets\CookCard.dart", "Dart", 0, 0, -20, -1, -2, -23
"c:\kaio\lib\widgets\CultureCard.dart", "Dart", 0, 0, -99, -14, -21, -134
"c:\kaio\lib\widgets\Recipe.dart", "Dart", 0, 0, -25, -1, -7, -33
"c:\kaio\lib\widgets\ReviewCard.dart", "Dart", 0, 0, -19, -2, -3, -24
"c:\kaio\lib\widgets\craft.dart", "Dart", 0, 0, -31, -1, -6, -38
"c:\kaio\lib\widgets\destinationFeature.dart", "Dart", 0, 0, -47, -2, -5, -54
"c:\kaio\lib\widgets\selection.dart", "Dart", 0, 0, -17, -1, -4, -22
"c:\kaio\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 2, 0, 0, 0, 0, 2
"c:\kaio\pubspec.yaml", "YAML", 0, 6, 0, 0, 2, 8
"Total", "-", 2, 6, 456, -93, 26, 397
